direction,held_out_profile,model,seed,selected_epoch,fold_best_epoch_min,fold_best_epoch_median,fold_best_epoch_max,fold_best_MAE_mean,fold_best_MAE_std,folds_hit_max
1C_to_2C,HWFET,VI,42,47,20,47.0,48,0.003405035752803,0.0006582308927751,0
1C_to_2C,HWFET,VI+W,42,29,23,29.0,44,0.0043415058869868,0.0008334106816772,0
1C_to_2C,HWFET,VI+W-white,42,31,29,31.0,51,0.004318789159879,0.0012940437464101,0
1C_to_2C,LA92,VI,42,39,31,39.0,56,0.0034467388875782,0.0008031966590674,1
1C_to_2C,LA92,VI+W,42,40,16,40.0,57,0.004346909513697,0.0013259106946395,1
1C_to_2C,LA92,VI+W-white,42,39,30,39.0,57,0.0041424201801419,0.0006869371192075,1
1C_to_2C,NEDC,VI,42,45,24,45.0,60,0.0035257728770375,0.00042577180481,1
1C_to_2C,NEDC,VI+W,42,30,19,30.0,59,0.0047595898155123,0.0015117037437408,1
1C_to_2C,NEDC,VI+W-white,42,39,11,39.0,55,0.0048037257511168,0.0009931443582051,0
1C_to_2C,NYCC,VI,42,32,26,32.0,57,0.003263826528564,0.0003307854665395,2
1C_to_2C,NYCC,VI+W,42,32,25,32.0,47,0.0046574244275689,0.0009990922158873,0
1C_to_2C,NYCC,VI+W-white,42,34,18,34.0,57,0.0045336640439927,0.0009804703051016,1
1C_to_2C,US06,VI,42,38,22,38.0,59,0.0034158822149038,0.00049474882718,1
1C_to_2C,US06,VI+W,42,42,24,42.0,60,0.0039955658838152,0.0002995810992748,1
1C_to_2C,US06,VI+W-white,42,36,21,36.0,46,0.0050032525788992,0.0015831495321741,0
1C_to_2C,WLTC,VI,42,31,20,31.0,56,0.0033539610449224,0.0004895125486573,2
1C_to_2C,WLTC,VI+W,42,36,31,36.0,55,0.0041611258871853,0.0011261304179565,1
1C_to_2C,WLTC,VI+W-white,42,37,31,37.0,59,0.0041705399286001,0.0009166037053099,1
2C_to_1C,HWFET,VI,42,35,24,35.0,41,0.0049018700141459,0.0011753112718369,0
2C_to_1C,HWFET,VI+W,42,56,18,56.0,59,0.0070394005160778,0.0054534718463633,3
2C_to_1C,HWFET,VI+W-white,42,50,42,50.0,56,0.0065259847790002,0.0046341317306104,1
2C_to_1C,LA92,VI,42,24,15,24.0,53,0.0052087478339672,0.0013998862380984,1
2C_to_1C,LA92,VI+W,42,55,31,55.0,56,0.0070627980399876,0.0052786875253114,3
2C_to_1C,LA92,VI+W-white,42,42,24,42.0,58,0.0068181794602423,0.0044649593990032,1
2C_to_1C,NEDC,VI,42,34,19,34.0,48,0.0051702242810279,0.0014084605536104,0
2C_to_1C,NEDC,VI+W,42,44,37,44.0,59,0.004724421352148,0.0008616420608702,1
2C_to_1C,NEDC,VI+W-white,42,48,37,48.0,58,0.0049053056165575,0.0007085071949101,1
2C_to_1C,NYCC,VI,42,52,22,52.0,60,0.0044968046247959,0.0010366462658956,2
2C_to_1C,NYCC,VI+W,42,57,44,57.0,60,0.008948219474405,0.009898468424592,3
2C_to_1C,NYCC,VI+W-white,42,54,32,54.0,56,0.0071328382007777,0.0050628908513473,3
2C_to_1C,US06,VI,42,44,17,44.0,60,0.0046762874815613,0.0009263757947558,2
2C_to_1C,US06,VI+W,42,51,3,51.0,57,0.008194454293698,0.0049936751769473,2
2C_to_1C,US06,VI+W-white,42,59,42,59.0,60,0.0071466776076704,0.0042590973454115,3
2C_to_1C,WLTC,VI,42,41,28,41.0,52,0.0045460713561624,0.0013678601798719,0
2C_to_1C,WLTC,VI+W,42,58,55,58.0,60,0.0059530247468501,0.0043192822020905,5
2C_to_1C,WLTC,VI+W-white,42,56,40,56.0,59,0.0059609914664179,0.0033198793795102,4
