direction,main_held_out_profile,model,inner_val_profile,fold,seed,best_epoch,best_val_MAE,stopped_epoch,hit_max_epoch
1C_to_2C,HWFET,VI+W,LA92,0,42,29,0.0053510856814682,37,False
1C_to_2C,HWFET,VI+W,NEDC,1,42,23,0.003870289074257,31,False
1C_to_2C,HWFET,VI+W,NYCC,2,42,36,0.0047642858698964,44,False
1C_to_2C,HWFET,VI+W,US06,3,42,44,0.0045303953811526,47,False
1C_to_2C,HWFET,VI+W,WLTC,4,42,25,0.0031914734281599,33,False
1C_to_2C,LA92,VI+W,HWFET,0,42,16,0.0064857257530093,24,False
1C_to_2C,LA92,VI+W,NEDC,1,42,48,0.0034933604765683,51,False
1C_to_2C,LA92,VI+W,NYCC,2,42,40,0.0047671338543295,48,False
1C_to_2C,LA92,VI+W,US06,3,42,57,0.0037156774196773,60,True
1C_to_2C,LA92,VI+W,WLTC,4,42,39,0.0032726500649005,47,False
1C_to_2C,NEDC,VI+W,HWFET,0,42,30,0.0041892486624419,34,False
1C_to_2C,NEDC,VI+W,LA92,1,42,19,0.0070120273157954,27,False
1C_to_2C,NEDC,VI+W,NYCC,2,42,52,0.0054744710214436,60,False
1C_to_2C,NEDC,VI+W,US06,3,42,59,0.0031377670820802,60,True
1C_to_2C,NEDC,VI+W,WLTC,4,42,23,0.0039844349958002,31,False
1C_to_2C,NYCC,VI+W,HWFET,0,42,47,0.0032741390168666,55,False
1C_to_2C,NYCC,VI+W,LA92,1,42,32,0.0057577146217226,40,False
1C_to_2C,NYCC,VI+W,NEDC,2,42,31,0.005489476956427,39,False
1C_to_2C,NYCC,VI+W,US06,3,42,44,0.0044959899969398,52,False
1C_to_2C,NYCC,VI+W,WLTC,4,42,25,0.0042698015458881,26,False
1C_to_2C,US06,VI+W,HWFET,0,42,42,0.0042624250054359,49,False
1C_to_2C,US06,VI+W,LA92,1,42,48,0.0041086771525442,56,False
1C_to_2C,US06,VI+W,NEDC,2,42,24,0.0038336620200425,31,False
1C_to_2C,US06,VI+W,NYCC,3,42,60,0.0042219413444399,60,True
1C_to_2C,US06,VI+W,WLTC,4,42,30,0.0035511238966137,38,False
1C_to_2C,WLTC,VI+W,HWFET,0,42,48,0.0027478146366775,56,False
1C_to_2C,WLTC,VI+W,LA92,1,42,31,0.0056966785341501,39,False
1C_to_2C,WLTC,VI+W,NEDC,2,42,33,0.0035763778723776,41,False
1C_to_2C,WLTC,VI+W,NYCC,3,42,55,0.0040260311216115,60,True
1C_to_2C,WLTC,VI+W,US06,4,42,36,0.0047587272711098,38,False
2C_to_1C,HWFET,VI+W,LA92,0,42,46,0.0045232959091663,54,False
2C_to_1C,HWFET,VI+W,NEDC,1,42,18,0.016728151589632,23,False
2C_to_1C,HWFET,VI+W,NYCC,2,42,58,0.0047115013003349,60,True
2C_to_1C,HWFET,VI+W,US06,3,42,56,0.0055125262588262,60,True
2C_to_1C,HWFET,VI+W,WLTC,4,42,59,0.0037215275224298,60,True
2C_to_1C,LA92,VI+W,HWFET,0,42,55,0.0038056515622884,60,True
2C_to_1C,LA92,VI+W,NEDC,1,42,35,0.0161343421787023,43,False
2C_to_1C,LA92,VI+W,NYCC,2,42,31,0.0072957794182002,39,False
2C_to_1C,LA92,VI+W,US06,3,42,56,0.0043681790120899,60,True
2C_to_1C,LA92,VI+W,WLTC,4,42,56,0.0037100380286574,60,True
2C_to_1C,NEDC,VI+W,HWFET,0,42,47,0.0043450742959976,50,False
2C_to_1C,NEDC,VI+W,LA92,1,42,59,0.0048843561671674,60,True
2C_to_1C,NEDC,VI+W,NYCC,2,42,44,0.0061407149769365,52,False
2C_to_1C,NEDC,VI+W,US06,3,42,44,0.0039284019730985,52,False
2C_to_1C,NEDC,VI+W,WLTC,4,42,37,0.0043235593475401,45,False
2C_to_1C,NYCC,VI+W,HWFET,0,42,60,0.0039207721129059,60,True
2C_to_1C,NYCC,VI+W,LA92,1,42,46,0.0062342737801373,54,False
2C_to_1C,NYCC,VI+W,NEDC,2,42,44,0.0265642814338207,52,False
2C_to_1C,NYCC,VI+W,US06,3,42,57,0.0036964025348424,60,True
2C_to_1C,NYCC,VI+W,WLTC,4,42,57,0.0043253675103187,60,True
2C_to_1C,US06,VI+W,HWFET,0,42,3,0.0128470780327916,12,False
2C_to_1C,US06,VI+W,LA92,1,42,57,0.0047165830619633,60,True
2C_to_1C,US06,VI+W,NEDC,2,42,38,0.0144068943336606,46,False
2C_to_1C,US06,VI+W,NYCC,3,42,54,0.0047508110292255,60,True
2C_to_1C,US06,VI+W,WLTC,4,42,51,0.0042509050108492,51,False
2C_to_1C,WLTC,VI+W,HWFET,0,42,59,0.0031489334069192,60,True
2C_to_1C,WLTC,VI+W,LA92,1,42,58,0.0041916212067008,60,True
2C_to_1C,WLTC,VI+W,NEDC,2,42,55,0.0135648502036929,60,True
2C_to_1C,WLTC,VI+W,NYCC,3,42,55,0.0051644928753376,60,True
2C_to_1C,WLTC,VI+W,US06,4,42,60,0.0036952260416001,60,True
